Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
Freddy's Dead: The Final Nightmare		Freddy's Dead: The Final Nightmare		Freddy's Dead: The Final Nightmare					1991		1991	1991														Q748614	Q748614	Freddy's Dead: The Final Nightmare	https://en.wikipedia.org/wiki/Freddy%27s_Dead:_The_Final_Nightmare	Sign on Screen; Wikipedia				In this horror sequel, one of the teens, Carlos, is deaf in one ear after being physically abused by his mother. Freddy Krueger later attacks him in his dreams by making his hearing aid extremely sensitive to noise.						Nightmare on Elm Street sequel, Freddy Krueger pursues teen boy who's deaf in one ear from abuse by his mother. Character wears a hearing aid and Freddy taunts him with ableist phrases ('lend me your ear', 'nice hearing from you')								deafened by accident/violence; hearing aid	Feature					English		US		Rachel Talalay							tt0101917	Q748614
From Bohemia's Woods and Fields		From Bohemia's Woods and Fields							2011		2011																			Sign on Screen										Biopic of Czech composer Bedrich Smetana, who composed his most admired music after being deafened								adapting to deafness; biopic; deaf musician/dancer; Deaf Gain drama; music; progressive hearing loss	Documentary					English		UK		Ian Woodward							tt3575630	–
From Silence to Sound	From Silence to Sound	From Silence to Sound							2007	April 20, 2007	2007																			DMDb; Sign on Screen									In the United States, more than 20 million people are either deaf or hard-of-hearing. Justin Garrett is among them. At age 27, he takes a chance on a risky surgery in hopes of hearing for the first time in his life.	Documentary about a deaf man who decides to get a cochlear implant							x Documentaries; x Documentaries by Non-Deaf Directors	cochlear implant	Documentary	Documentary	48 minutes			American Sign Language (ASL); English	USA	US		Chase Matthews			https://deafmovie.org/title/from-silence-to-sound/				tt1054483	–
Fugitive Lovers		Fugitive Lovers							1934		1934																			Sign on Screen										Gangster-meets-chorus-girl story, IMDb lists American Sign Language (ASL)								romance; thriller	Feature					American Sign Language (ASL); English		US		Richard Boleslawski							tt0025151	Q5507267
Fuzz		Fuzz		Fuzz				Fuzz	1972		1972	1972				1972										Q759473	Q759473	Fuzz (film)	https://en.wikipedia.org/wiki/Fuzz_(film)	Sign on Screen; Wikipedia; Hollywood Speaks				American action comedy film features hearing actor Yul Brynner as master criminal The Deaf Man, a recurring character in the series of novels on which the film is based.						Burt Reynolds comedy action movie includes two deaf characters: a layered portrayal from his deaf wife, and a one-dimensional portrayal of an arch criminal named 'The Deaf Man' or 'El Sordo'	*This film depicts the success of the 'inept' detectives of the 87th Precinct... Two hearing-impaired characters are featured: Teddy Carella (Adams) is the deaf-mute wife... the 'deaf-man' (Brynner) is a murderer and extortionist...					Neile Adams; Yul Brynner		action; comedy; deaf villain/suspect	Feature			10 reels		American Sign Language (ASL); English; Spanish		US		Richard A. Colla					Filmways/United Artists	126	tt0068617	Q759473
Gabriel		Gabriel							1993		1993																			Sign on Screen										Small-town drama about racism and difference includes deaf man who works in dry cleaning and loves reading; he signs with several characters								drama	Feature					French; French Sign Language (LSF)		France		Mounir Dridi							tt0345296	–
Gala & Godfrey		Gala & Godfrey							2016		2016																			Sign on Screen										Romance between a British man and American woman in Hollywood includes Eddie Buck as their friend George								deaf actor; friendship; romance	Feature					English		US		Kristin Ellingson							tt3271078	–
Galawgaw		Galawgaw							1954		1954																			Sign on Screen										Comedy musical romance without synopsis lists 'deaf' as theme								comedy; music; romance; romantic comedy	Feature					Filipino; Tagalog		Philippines		F. H. Constantino							tt0418697	–
Gallaudet: The Film	Gallaudet: The Film								2010	April 1, 2010							tt1781818	tt1781818												DMDb									N/A								Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Short			American Sign Language		USA		50-100% Sign Language Usage			Free Short	https://deafmovie.org/title/gallaudet-the-film/				tt1781818	–
Gamanam	Gamanam								2021	December 10, 2021							tt13110808	tt13110808												DMDb									The destiny of four compelling lives collide in a city. Innocence, regret, ambition and sacrifice, all of it being catapulted into unforeseen situations. An aspiring cricketer is expected to get a job. Kamala, a deaf mother, dreams of implanting a hearing aid. Two orphaned kids living their best lives on the street, get lured towards the glittery life. It’s a weave of stories of these individuals.								Movies			Drama	01 hours 54 minutes		Telugu		India						https://deafmovie.org/title/gamanam/				tt13110808	Q104869825
Game of Life		Game of Life							2010		2010																			Sign on Screen										Four deaf poker players are joined by a mysterious stranger								deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language	Short					British Sign Language (BSL)		UK		Nick Sturley							tt1686773	–
The Gang		The Gang							2012		2012																			Sign on Screen										Short about the breakdown of a friend group as many move away includes Eddie Buck in one of the roles								deaf actor; drama; friendship	Short					English		US		J.W. Cudd							tt2833196	–
Garage Heat		Garage Heat							2017		2017																			Sign on Screen										ASL short about adopted sisters reminiscing, including deaf actors Amber Zion, Natasha Ofili and Sandra Mae Frank								deaf actor; deaf director; deaf writer/producer; sibling relationship	Short					American Sign Language (ASL)		US		Dickie Hearts							tt10135630	–
The Garden of Stones		The Garden of Stones	Baghé Sangui						1976		1976																			Sign on Screen										A deaf shepherd, played by deaf Iranian artist Darvish Khan Esfandiarpoor, has a mystic vision and begins to build a garden filled with stones								deaf actor; deaf artist; deaf mystic; drama	Feature					Farsi		Iran		Parviz Kimiavi							tt0169580	Q5848105
Gas Food Lodging		Gas Food Lodging							1992		1992																			Sign on Screen										A mother and daughter on a road trip in the American Southwest encounter a deaf dancer en route								deaf musician/dancer; deaf-hearing relationship; drama	Feature					English; Spanish		US		Allison Anders							tt0104321	Q766135
Gathering		Gathering	Skup						2021		2021																			Sign on Screen										Woman's disillusionment with capitalist society is eased through her relationship with her deaf partner								deaf-hearing relationship; drama; deaf character inspires hearing character’s self-actualisation	Short					Serbian; Yugoslav Sign Language		Serbia		Marko Pejovic							–	–
Gerald	Gerald								2010	May 1, 2010																				DMDb									This film is a journey of a young man, Corey, yearning for kinship until one day discovers he has a Deaf autistic grandfather he has never knew, Corey was determined to make connection regardless. The family ties and secrets unbeknownst to the young man have surfaced, and all the events suddenly unfold. A powerful, emotional and continuous twist of events that leads to shocking truth.			Russell Harvard	Mark Wood	Mark Wood			Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies						American Sign Language		USA		50-100% Sign Language Usage				https://deafmovie.org/title/gerald/				–	–
Gestures: A film in Sign Language	Gestures: A film in Sign Language	Gestures: A Film in Sign Language							1989	March 2, 1989	1989																			DMDb; Sign on Screen									Black Summer	Documentary short about one family's use of sign language							x Documentaries; x Documentaries by Non-Deaf Directors	deaf child; deaf child hearing parent; learning sign	Documentary	Documentary				Australian Sign Language (Auslan); English		Australia		Sue Richter			https://deafmovie.org/title/gestures-a-film-in-sign-language/				tt8250354	–
Getaway		Getaway							2020		2020																			Sign on Screen										Deaf-led slasher film short in American Sign Language (ASL) includes deaf actor Miles Barbee								deaf actor; deaf director; deaf writer/producer; deaf victim/witness; deaf villain/suspect; horror	Short					American Sign Language (ASL)		US		Chase Chambers; Amelia Hensley; Amber Zion							tt13235108	–
The Gift	The Gift	The Gift							2011	May 9, 2011	2011																			DMDb; Sign on Screen									Boy meets girl, they fall in love, crisis arises and happy ending ensues complicated by deafness, insensitivity to individual challenges and saved by personal sacrifice.	Hearing musician falls in love with deaf dancer but he struggles to learn sign							Movies with Deaf Actors | Supporting Roles; Movies	deaf-hearing relationship; deaf musician/dancer; learning sign; music; romance	Feature	Drama; Romance; Short	54 minutes		American Sign Language	American Sign Language (ASL); English	USA	US		Alexander Genievsky			https://deafmovie.org/title/the-gift/				tt2091436	–
Gigot		Gigot							1962		1962																			Sign on Screen										A deaf janitor befriends the daughter of a sex worker								deaf-hearing relationship; friendship; sex work	Feature					English		US		Gene Kelly							tt0056017	Q772786
The Girl in the Kidnapper's Lair					The Girl in the Kidnapper's Lair				2023				2023				tt28833949			tt28833949	https://www.imdb.com/title/tt28833949/?ref_=ls_t_154									IMDb HoH					Anai, a deaf young man is part of a gang of kidnappers. One victim of theirs is a young girl named Muli, who also happens to be deaf. Over time, Anai and Muli start to become closer through their language and fall in love.																														tt28833949	–
The Girl Who Couldn’t Hear “No”	The Girl Who Couldn’t Hear “No”								2022	September 30, 2022																				DMDb									We must never stand in the way of those determined to shape their own future.								Shorts with Deaf Actors | Leading Roles; Shorts				5 minutes		Indian Sign Language		India		50-100% Sign Language Usage			Free Short	https://deafmovie.org/title/the-girl-who-couldnt-hear-no/				–	–
