English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
Gabriel		Mounir Dridi	1993	Feature	French; French Sign Language (LSF)	France		Small-town drama about racism and difference includes deaf man who works in dry cleaning and loves reading; he signs with several characters	drama	
Galawgaw		F. H. Constantino	1954	Feature	Filipino; Tagalog	Philippines		Comedy musical romance without synopsis lists 'deaf' as theme	comedy; music; romance; romantic comedy	
The Garden of Stones	Baghé Sangui	Parviz Kimiavi	1976	Feature	Farsi	Iran		A deaf shepherd, played by deaf Iranian artist Darvish Khan Esfandiarpoor, has a mystic vision and begins to build a garden filled with stones	deaf actor; deaf artist; deaf mystic; drama	
Gas Food Lodging		Allison Anders	1992	Feature	English; Spanish	US		A mother and daughter on a road trip in the American Southwest encounter a deaf dancer en route	deaf musician/dancer; deaf-hearing relationship; drama	
Gestures: A Film in Sign Language		Sue Richter	1989	Documentary	Australian Sign Language (Auslan); English	Australia		Documentary short about one family's use of sign language	deaf child; deaf child hearing parent; learning sign	
Gigot		Gene Kelly	1962	Feature	English	US		A deaf janitor befriends the daughter of a sex worker	deaf-hearing relationship; friendship; sex work	
Golden Door	Nuovomondo	Emanuele Crialese	2006	Feature	English; Italian; Sicilian	France; Italy		Ellis Island immigration drama, son of one main characters is deaf	deaf child; deaf child hearing parent; drama	
The Golden Legacy		Arthur Luhn	2003	Feature	American Sign Language (ASL)	US		Fantasy pirate movie with deaf pirates in Boston area	action; deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language; sci-fi/fantasy	
Good Old Daze	Le Péril jeune	Cédric Klapisch	1994	Feature	French; French Sign Language (LSF)	France		Nostalgic feature in which high school friends find one another again in a hospital waiting room; they reflect on their adolescence which includes the secondary characters of a hearing boy and his deaf father, a signing baker	Coda; comedy; drama	
The Good Shepherd		Robert De Niro	2006	Feature	English; German; Lingala; Russian; Spanish	US	Stan	Hollywood spy movie with Matt Damon and Angelina Jolie; one character has a deaf girlfriend played by hearing actor Tammy Blanchard	deaf-hearing relationship; hearing actor in deaf role; thriller	
Goya		José Ramon Larraz	1985	Series	Spanish	Italy; Spain		TV mini-series biopic of late-deafened painter Francisco Goya, who was also partially deafblind	biopic; deaf artist; deafblind character; deafened by illness; Goya	
Goya: Awakened in a Dream		Richard Mozer	1999	Feature	English	Canada		TV movie about late-deafened painter Francisco Goya, around the time his vision was also deterioriating, and his friendship with a young girl who keeps his spirits up	biopic; deaf artist; deafblind character; deafened by illness; disability; friendship; Goya	
	Goya, historia de una soledad	Nino Quevedo	1971	Feature	Spanish	Spain		Biopic of late-deafened painter Francisco Goya, who was also partially deafblind	biopic; deaf artist; deafblind character; deafened by illness; Goya	
Goya in Bordeaux	Goya en Burdeos	Carlos Saura	1999	Feature	French; Italian; Spanish	France; Italy; Spain		Biopic about Goya's final years when he was deaf and in exile in Bordeaux	biopic; deaf artist; drama; Goya	
Goya's Ghosts		Milos Forman	2006	Feature	English	Spain; US		Historical drama about a man who falls for deaf artist Francisco Goya's muse	biopic; deaf artist; drama; Goya	
Grace a la musique		François Reichenbach	1982	Series	French	France		Episodes 14 and 15 ("Ludwig Van Beethoven: 1ère partie" + "2ème partie") of this musical biography documentary are about Beethoven (series duration 1979-82)	Beethoven; biopic; deaf musician/dancer; music	
Grand Canyon		Lawrence Kasdan	1991	Feature	English; Spanish	US		Ensemble drama includes hearing father (Danny Glover) who keeps long-distance contact with his deaf daughter through a 90s telecommunications device	deaf child hearing parent; family drama	
Great Artists with Tim Marlow		Tim Marlowe	2003	Series	English	US		Season 2 episode 5 ("Goya") of this series of artist biopics is about deaf artist Francisco Goya (series duration 2001-3)	biopic; deaf artist; drama; Goya	
The Greatest Show on Earth		Rosa Rogers	2007	Documentary	Portuguese	US		A deaf girl determined to dance at Rio's Carnevale learns samba	deaf musician/dancer; music	
The Green Room	La chambre verte	François Truffaut	1978	Feature	French; French Sign Language (LSF); Latin	France		Family drama in which a depressed widower lives with his deaf child (Patrick Maléon) and nanny; decorates a room in their house all green as a shrine to his wife	deaf actor; deaf child; deaf director; family drama	
The Green Scarf		George More O'Ferrall	1954	Feature	English	UK		Deafblind man (played by sighted hearing actor Kieron Moore) mysteriously confesses to a murder the main character is certain he's innocent of. One of two adaptations of Guy des Cars' novel La Brute (see also La Brute)	deaf villain/suspect; deaf victim/witness; deafblind character; hearing actor in deaf role	
Gummo		Harmony Korine	1997	Feature	English	US		Small-town nihilism drama features a deaf couple as side characters	drama	
Hands Solo		William Mager	2009	Short	British Sign Language (BSL); English	UK	YouTube	Spoof comedy short about deaf man (Matt Kirby) who becomes famous masturbation porn star due to sign dexterity	comedy; deaf actor; deaf director; deaf writer/producer; Deaf Gain	
Handy Manny		Charles E. Bastien	2006	Children's series	English	US		Season 1 episode 9 ("Supremoguy/Tool Talk") of this children's talking tool show is set at a Mini Golf course where owner "seems to ignore them" (series duration 2006-13)	comedy	
Happiness of Us Alone	名もなく貧しく美しく	Zenzō Matsuyama	1961	Feature	English; Japanese; Japanese Sign Language (JSL)	Japan		Drama about the challenges and joys of a deaf couple who are infantilised in postwar Japanese society	drama; hearing actor in deaf role	
Happy Days		Jerry Paris	1980	Series	American Sign Language (ASL); English	US		Season 7 episode 20 ("Allison") of this family comedy series includes Linda Bove as a deaf character the Fonz has a crush on; Richie and Fonzie learn American Sign Language (ASL) to communicate with her (series duration 1974-84)	deaf actor; learning sign; romance	
The Hardy Boys/Nancy Drew Mysteries		John J. Dumas	1977	Series	English	US		Season 2 episode 11 ("The Mystery of the Silent Scream") of this mystery series includes a deaf girl at a Vegas hotel who lipreads a man's plan to set off a bomb (series duration 1977-79)	crime/mystery; Deaf Gain; lipreading, inc. magical	
Harley Davidson and the Marlboro Man		Simon Wincer	1991	Feature	English	US		Two washed-up lone riders hatch a scheme to avoid getting evicted; one of their partners in crime is a deaf man who dies in the process	crime/mystery; deaf victim/witness; deaf villain/suspect	
Harry in Your Pocket		Bruce Geller	1973	Feature	English	US		Crime comedy drama includes deaf side character in airport scene including sign language dialogue	comedy; crime/mystery; drama	
	Hatya	Kirti Kumar	1988	Feature	Hindi	India		Traumatised widower adopts a deaf boy he finds abandoned in a garbage bin	adoption/foster care; deaf child; deaf child hearing parent; family drama; grief	
Hear and Now		Irene Taylor Brodsky	2007	Documentary	American Sign Language (ASL); English	US		Filmmaker's documentation of her deaf parents raising two Codas, who decide to get cochlear implants later in life	cochlear implant; Coda; deaf-hearing relationship; family drama	
Hear Me	Ting Shuo	Fen-fen Cheng	2009	Feature	Chinese Sign Language (CSL); Mandarin	Taiwan	YouTube	Teen rom com between delivery boy and deaf girl, who along with her deaf sister is trying to get into the Paralympics for swimming	deaf sporting excellence; deaf-hearing relationship; romance; romantic comedy	
Hear No Evil		Robert Greenwald	1993	Feature	American Sign Language (ASL); English	US		Deaf woman played by Marlee Matlin becomes target of corrupt police officer	deaf victim/witness; hearing stalker/killer	
The Heart is a Lonely Hunter		Carson McCullers	1968	Feature	American Sign Language (ASL); English	US		A deaf man becomes the guardian of his disabled friend, is frequently confided in by hearing characters	deaf character inspires hearing character’s self-actualisation; deaf victim/witness; deaf-hearing relationship; disability; drama; friendship	
The Heart of the Hydrogen Jukebox		Miriam Nathan Lerner	2009	Documentary	American Sign Language (ASL)	US		Documentary about the US American Sign Language (ASL) poetry scene in the 1980s and 90s	deaf artist; all/most dialogue in sign language; sign language poetry/song	
Helen Keller: The Miracle Continues		Alan Gibson	1984	Feature	English	US		Blythe Danner plays Anne Sullivan, yet another film about the hearing teacher of the Deafblind Helen Keller	deafblind character; hearing teacher; 'hearing saviour'; Helen Keller; learning sign	
Hell's Highway		Rowland Brown; John Cromwell	1932	Feature	American Sign Language (ASL); English	US		Chain gang revolt drama includes dialogue in American Sign Language (ASL)	crime/mystery; drama	
	Hellé	Roger Vadim	1972	Feature	French	France		Bitter Vietnam vet returns to France and antagonises those around him, including deaf girlfriend the film is named after	deaf victim/witness; deaf-hearing relationship; thriller	
Hercules		Luigi Cozzi	1983	Feature	English	Italy, US		Pulpy adaptation of the Hercules myth stars deaf actor and bodybuilder Lou Ferrigno as Hercules	deaf actor; deaf superhero	
Here and There		Michael T. Cyr	2009	Documentary	American Sign Language (ASL); English; Quebecois Sign Language (LSQ)	Canada		Documentary about American Sign Language (ASL) and Quebecois Sign Language (LSQ) in Canada	Deaf Culture; learning sign	
Heroes		S.J. Clarkson	2009	Series	American Sign Language (ASL); English	US		Season 4 episode 4 ("Chapter Four 'Hysterical Blindness'") of this fantasy drama includes deaf woman whose powers partly come from her deafness and use of American Sign Language (ASL) (series duration 2006-10)	action; drama; sci-fi/fantasy	
Hidalgo		Joe Johnston	2004	Feature	Arabic; English; Sioux	Morocco; US		Western, includes scene where cowboy tries to wrest gun from Indigenous man, not realising he is deaf	Indigenous character/themes; western	
High Heels	Tacones lejanos	Pedro Almodóvar	1991	Feature	Spanish; Spanish Sign Language (LSE)	Spain		Almodóvar erotic crime drama in which a TV news host works alongside a sign language interpreter with whom she has real-life conflict	crime/mystery; drama	
His Bodyguard		Artie Mandelberg	1998	Feature	English	US		A deaf man working at a chemical firm witnesses theft	crime/mystery; deaf victim/witness; thriller	
His Busy Hour		Bertha Lincoln Heusis; James Spearing	1926	Feature	American Sign Language (ASL)	US		First all-deaf cast in an unreleased film made to feature silent deaf actors including Albert Ballin, Carmen de Arcos, Granville Redmond, Emerson Romero (aka Tommy Albert) and Louis Weinberg (aka David Marvel).	deaf actor	
